Pose Number,Knee Angle (degrees),Hip Offset,Ankle Offset,Should be Detected,Detected as Squat
1,163.29529630909371,-0.4353166789293338,-0.46370600234605464,False,False
2,159.5295799964086,0.21465589246257077,-0.39082479909852796,False,False
3,71.05863704089057,-0.41668791698072793,0.2261597451597548,True,False
4,162.16942234448965,-0.020079884534885406,0.19192280137987416,False,False
5,140.4295272574163,-0.23948173092964808,0.4604982235809787,True,False
6,124.55954532160634,0.40681135485191444,-0.3174080984227051,True,False
7,124.30712273170754,-0.14799791403584328,0.05909410875323984,True,False
8,78.92824171373456,-0.02441668380822326,-0.24139537498601815,True,False
9,168.61645258656955,0.41722232488777855,-0.3816249202713471,False,False
10,149.78170090117655,-0.4035436853158725,0.40782531830592283,True,False
11,67.57163969013317,0.21083176299195483,0.1508815120936834,True,False
12,145.46249865362535,-0.2604742170628451,-0.08121818952509341,True,False
13,146.6800557763141,-0.23045499503938927,-0.28557431307842374,True,True
14,69.29594594108858,-0.12995754083716915,0.26248095193825516,True,False
15,76.81885433527879,0.34882449410711636,0.23973368510141824,True,False
16,78.32485708660371,-0.06880378728808623,-0.02070613160448287,True,False
17,112.442339593339,0.23775325626908927,0.4286943799196459,True,False
18,108.17501756520949,-0.013851527384407425,-0.47019422599362537,True,False
19,137.70122043588748,0.32320938080936235,-0.34726845717712895,True,False
20,98.03426465796252,0.2571263071030646,0.19903540918292872,True,False
21,187.3271260117691,0.24242997852303383,0.3402115103221064,False,False
22,134.66654833816972,0.43091431984954354,-0.09867844849393415,True,True
23,156.35761856103358,0.3329045547096594,-0.3387863985561119,False,False
24,123.15681271568292,-0.1423340847710497,0.3853297053247763,True,False
25,101.84825156069068,0.4207656659552611,0.49152064327687717,True,False
26,181.68150800200743,-0.24109755936586863,0.3010260601729706,False,False
27,172.3393698679241,0.1547427853451907,-0.44299691822296716,False,False
28,177.28279125434378,-0.06768949224803489,-0.31401401490804237,False,False
29,148.59240138271107,-0.31634554387003067,0.3233990268659226,True,False
